X_Long,Y_Lati,Z_Elevation_ft,CENTER_NAME
-118.187248,34.10422432,485.56,Art in the Park at Hermon Park
-118.294789,34.10169764,472.44,Barnsdall Art Center
-118.294789,34.10169764,472.44,Barnsdall Gallery Theatre
-118.294789,34.10169764,472.44,Barnsdall Junior Arts Center
-118.294789,34.10169764,472.44,Barnsdall Junior Arts Center Gallery
-118.2434695,34.05388374,587.27,Bridge Gallery at City Hall
-118.6001939,34.2014678,800.52,Canoga Park Youth Arts Center
-118.2146112,34.13928449,633.2,Center for the Arts Eagle Rock
-118.5024124,34.15965258,777.56,Encino Arts and Cultural Center
-118.2945679,34.10169824,6.56,Hollyhock House
-118.373542,34.16325736,1131.89,Lankershim Arts Center
-118.211599,34.07556464,351.05,Lincoln Heights Youth Arts Center
-118.2945679,34.10169824,291.99,Los Angeles Municipal Art Gallery
-118.2497823,34.04711032,265.75,Los Angeles Theatre Center
-118.6005991,34.20094858,291.99,Madrid Theatre
-118.3308078,34.00431367,190.29,Manchester Youth Arts Center
-118.2972164,34.25054549,1686.35,McGroarty Arts Center
-118.3420171,34.03975505,160.76,Nate Holden Performing Arts Center
-118.3659276,34.22685949,843.18,Sun Valley Youth Arts Center
-118.4914341,34.20136609,708.66,Van Nuys World Airport
-118.3308078,34.00431367,291.99,Vision Theatre
-118.2874248,33.7388392,104.99,Warner Grand Theatre
-118.2422061,33.93872308,108.27,Watts Towers Campus - Charles Mingus Youth Arts Center
-118.2422061,33.93872308,108.27,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery
-118.2422061,33.93872308,108.27,Watts Towers Campus - Noah Purifoy Gallery
-118.2422061,33.93872308,108.27,Watts Towers Campus - Watts Towers
-118.2422061,33.93872308,108.27,Watts Towers Campus - Watts Towers Arts Center
-118.3480409,34.03309671,101.71,William Grant Still Art Center
-118.2756795,34.06345595,334.65,William Reagh - LA Photography Center
